id,name,description,image,language,logic,customer_id,group,enabled,created,sort,description_won,versions,row,needs,is_personalized_learning
45,Brz kao munja,,lightningfast.svg,sr,"{""topics_per_week"": 3}",,11,True,2020-07-09 13:02:50.457966+00,4,"Вы завершили 3 темы за одну неделю. Неплохо! Отличный прогресс, продолжайте в том же духе!","{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 3, ""min_module_count"": null, ""min_category_count"": null}",False
46,Četiri od vrste,,allfours.svg,sr,"{""days_in_row"": 4, ""modules_per_day"": 4, ""or_completed_all_modules"": true}",,12,True,2020-07-09 13:02:50.457966+00,5,Вы завершили не менее 4 модулей каждый день в течение 4 дней подряд. Вот это серия! Почему бы не продолжить?,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 4, ""min_category_count"": null}",True
47,Povratak,,return.svg,sr,"{""login_after_days"": 90}",,13,True,2020-07-09 13:02:50.457966+00,3,"Мы уже скучали по вам! — Вы снова вошли в систему после как минимум 7 дней. Продолжайте с того места, где остановились, с помощью плитки $RPL QUICKSTART Qickstart-Tile$.","{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
48,Fišing profesionalac,,,sr,,,14,True,2020-07-09 13:02:50.457966+00,1,Вы распознали 5 фишинговых писем. Ваше острое чутьё на опасные сообщения действительно впечатляет!,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
49,Kolektivna inteligencija,,intelligence.svg,sr,"{""stages"": [{""id"": 0}]}",,15,True,2020-07-09 13:02:50.457966+00,1,Спасибо за ваш отзыв! Это помогает нам постоянно совершенствовать нашу обучающую платформу.,"{""ids"": [4]}",1,"{""stages"": [0], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
50,Nezaustavljiv,,unstoppable.svg,sr,"{""stages"": [{""id"": 1}]}",,16,True,2020-07-09 13:02:50.457966+00,2,Вы завершили все продвинутые модули. Теперь ваши знания охватывают и более сложные темы по кибербезопасности. Молодцы!,"{""ids"": [4]}",1,"{""stages"": [1], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
51,Insajderske informacije,,insiderknowledge.svg,sr,"{""stages"": [{""id"": 2}]}",,17,True,2020-07-09 13:02:50.457966+00,3,Вы прошли все дополнительные модули. Отлично! Теперь вы действительно знаете основы кибербезопасности.,"{""ids"": [4]}",1,"{""stages"": [2], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
52,Šerlok,,sherlock.svg,sr,"{""hint_viewed"": true}",,18,True,2020-07-09 13:02:50.457966+00,5,Ваши детективные навыки окупились — вы проявили себя как настоящий Шерлок в распознавании рисков.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
54,Za večnost,,fortheeternity.svg,sr,"{""certificate_printed"": true}",,20,True,2020-07-09 13:02:50.457966+00,6,Вы прошли все экспертные модули. Отлично! Теперь вы настоящий эксперт по кибербезопасности.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
55,Sloboda govora,,freedomofexpression.svg,sr,"{""feedback_given"": true}",,21,True,2020-07-09 13:02:50.457966+00,4,Вы завершили категорию «Свобода слова». Ваше понимание ответственной коммуникации стало ещё сильнее.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""campaign"": [""feedback""], ""categories"": null, ""components"": [""feedback.enabled""], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
56,Vrhunski učinak,,powerful.svg,sr,"{""modules"": {""count"": 20}}",,22,True,2020-07-09 13:02:50.457966+00,6,Вы завершили 20 модулей. Очень впечатляет! Продолжайте в том же духе.,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 20, ""min_category_count"": null}",True
57,Šesto čulo,,sixthsense.svg,sr,"{""topics"": {""count"": 6}}",,23,True,2020-07-09 13:02:50.457966+00,7,Ваше «шестое чувство» к рискам безопасности обострено — вы правильно реагировали несколько раз подряд.,"{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 6, ""min_module_count"": null, ""min_category_count"": null}",False
58,Raznolikost je ključ,,variety.svg,sr,"{""topics"": {""count"": 20}}",,24,True,2020-07-09 13:02:50.457966+00,8,Вы комбинировали разные темы и форматы обучения. Отлично! Разнообразие делает ваши знания более устойчивыми.,"{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 20, ""min_module_count"": null, ""min_category_count"": null}",True
59,Sjajan početak,,greatstart.svg,sr,"{""topics"": {""count"": 1}}",,25,True,2020-07-09 13:02:50.457966+00,9,"Вы получили сертификат. Возможно, он скоро откроет для вас новые карьерные возможности! Найти свой сертификат можно на плитке $RPL CERTIFICATE Certificate$.","{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 1, ""min_module_count"": null, ""min_category_count"": null}",False
60,Sveznajući,,allknowing.svg,sr,"{""completed_all_modules"": true}",,26,True,2020-07-09 13:02:50.457966+00,4,Поздравляем! Вы завершили все категории. Заберите заслуженный сертификат на плитке $RPL CERTIFICATE Certificate$!,"{""ids"": [3, 4]}",1,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
61,Sve dobre stvari dolaze u tri,,allgoodthingsarethree.svg,sr,"{""stages"": [{""id"": 2, ""count"": 3}]}",,27,True,2020-07-09 13:02:50.457966+00,10,"Вы завершили 3 экспертных модуля. Отлично! Вы на верном пути к тому, чтобы стать настоящим экспертом по кибербезопасности.","{""ids"": [4]}",4,"{""stages"": [2], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 3, ""min_category_count"": null}",False
62,Kratka pauza,,shortpause.svg,sr,"{""login_after_days"": 7}",,28,True,2020-07-09 13:02:50.457966+00,1,С возвращением! Вы сделали короткую паузу и снова с нами — так формируется устойчивая привычка к обучению.,"{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
63,Prvi koraci,,tour.svg,sr,"{""welcome_done"": true}",,29,True,2020-07-27 15:04:23.98553+00,1,Вы завершили ознакомительный тур по платформе. Теперь можно начинать!,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
64,Odmor,,vacation.svg,sr,"{""login_after_days"": 30}",,32,True,2020-09-23 15:39:11.782285+00,1,"Добро пожаловать обратно после отпуска! Продолжайте обучение с того места, где остановились, и оставайтесь в безопасности и спокойствии.","{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
65,Super bezbedno,,password.svg,sr,"{""modules"": [{""id"": 15}]}",,33,True,2020-09-23 15:39:11.782285+00,1,"Вы освоили правила создания надёжных паролей. Сейчас отличное время, чтобы заменить все оставшиеся ненадёжные пароли!","{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": [3], ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
66,Spontanost,,faststart.svg,sr,"{""quickstart_used"": true}",,34,True,2020-09-23 15:39:11.782285+00,1,"Вы использовали плитку $RPL QUICKSTART Qickstart-Tile$, чтобы быстро продолжить обучение. Отличный, спонтанный рефлекс!","{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
67,Kolektivna inteligencija,,intelligence.svg,sr,"{""stages"": [{""id"": 0}]}",,30,True,2020-07-09 13:02:50.457966+00,1,Спасибо за ваш отзыв! Это помогает нам постоянно улучшать нашу образовательную платформу.,"{""ids"": [3]}",1,"{""stages"": [0], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
68,Insajderske informacije,,insiderknowledge.svg,sr,"{""stages"": [{""id"": 1}]}",,31,True,2020-07-09 13:02:50.457966+00,3,Вы завершили все дополнительные модули. Отлично! Теперь вы действительно знаете основы кибербезопасности.,"{""ids"": [3]}",1,"{""stages"": [1], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
816,Ubrzana obuka iz sajber bezbednosti,,compact.svg,sr,"{""categories"": [{""id"": 17}]}",,35,True,2021-07-13 10:55:33.194913+00,0,Вы прошли ускоренный курс по кибербезопасности. Отличная работа!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [17], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1308,Usklađenost,,compliance.svg,sr,"{""categories"": [{""id"": 20}]}",,38,True,2022-02-21 07:42:26.892706+00,9,Вы завершили категорию «Ускладённость». Отличная работа! Теперь вы можете перейти к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [20], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1309,Nemački opšti zakon o jednakom postupanju,,agg.svg,sr,"{""categories"": [{""id"": 19}]}",,37,True,2022-02-21 07:42:26.892706+00,8,Вы завершили категорию „Общий закон Германии о равном обращении”. Отлично! Можете переходить к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [19], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1310,Bezbednost na radu,,worksafety.svg,sr,"{""categories"": [{""id"": 18}]}",,36,True,2022-02-21 07:42:26.892706+00,7,Вы завершили категорию „Охрана труда”. Отлично! Теперь можно перейти к следующей категории!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [18], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1414,Opasnosti socijalnog inženjeringa,,socialengineering.svg,sr,"{""categories"": [{""id"": 52}]}",,39,True,2023-06-05 12:32:08.411043+00,10,Вы завершили категорию „Опасности социальной инженерии”. Теперь никто не сможет легко получить ваши данные!,"{""ids"": [3, 4, 5]}",2,"{""topics"": null, ""modules"": null, ""categories"": [52], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1454,Sajber bezbednost za IT profesionalce,,itprofessionals.svg,sr,"{""categories"": [{""id"": 53}]}",,40,True,2023-07-05 11:54:23.193221+00,11,Вы завершили категорию „Кибербезопасность для IT-специалистов”. Ваши технические знания теперь ещё лучше защищены.,"{""ids"": [3, 4, 5]}",2,"{""topics"": null, ""modules"": null, ""categories"": [53], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1828,Sprečavanje pranja novca,,moneylaundering.svg,sr,"{""categories"": [{""id"": 64}]}",,41,True,2023-11-13 08:17:38.826361+00,12,"Поздравляем, вы завершили категорию „Противодействие отмыванию денег” и официально стали экспертом по „чистой” финансовой безопасности!","{""ids"": [3, 4, 5]}",2,"{""topics"": null, ""modules"": null, ""categories"": [64], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
2231,Sajber bezbednost za menadžere,,mgmtprofessionals.svg,sr,"{""categories"": [{""id"": 66}]}",,42,True,2024-01-23 12:00:51.329926+00,13,Вы завершили категорию „Кибербезопасность для менеджеров” и получили эксклюзивный статус VIP – Very Important Protector!,"{""ids"": [3, 4, 5]}",2,"{""topics"": null, ""modules"": null, ""categories"": [66], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
3132,Sajber bezbednost za finansijske odseke,,finance.svg,sr,"{""categories"": [{""id"": 74}]}",,43,True,2024-11-05 09:33:54.202784+00,14,"Поздравляем, вы завершили категорию «Кибербезопасность для финансовых отделов». Ваша финансовая безопасность теперь «в плюсе»!","{""ids"": [3, 4, 5]}",2,"{""topics"": null, ""modules"": null, ""categories"": [74], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
